pdf	summary	epm	facility	city	match_score	match_note
03-TV-029R2.pdf	3609_Grain_Processing_Corp.txt	3609	Grain Processing Corp	Muscatine	1.000	manual_pdf_epm_override
06-TV-006R1.pdf	3581_Cargill_Inc.txt	3581	Cargill Inc	Eddyville	1.000	manual_pdf_epm_override
07-TV-001R3.pdf	3669_Poet_Biorefinning_Coon_Rapids.txt	3669	Poet Biorefinning-Coon Rapids	Coon Rapids	1.000	manual_pdf_epm_override
08-TV-004R2.pdf	3558_ADM_Cedar_Rapids_IA_Wet_Mill.txt	3558	ADM Cedar Rapids IA Wet Mill	Cedar Rapids	1.000	manual_pdf_epm_override
09-TV-002R2.pdf	3608_Golden_Grain_Energy_LLC.txt	3608	Golden Grain Energy LLC	Mason City	1.000	manual_pdf_epm_override
09-TV-005R2-M001.pdf	3570_Big_River_Resources_West_Burlington_LLC.txt	3570	Big River Resources West Burlington LLC	West Burlington	1.000	manual_pdf_epm_override
10-TV-001R2.pdf	3729_Valero_Renewable_Fuels_LLC.txt	3729	Valero Renewable Fuels LLC	Lakota	1.000	manual_pdf_epm_override
10-TV-005R2.pdf	3642_Little_Sioux_Corn_Processors_LLLP.txt	3642	Little Sioux Corn Processors LLLP	Marcus	1.000	manual_pdf_epm_override
10-TV-008R2.pdf	3662_Poet_Biorefinning_Arthur_LLC.txt	3662	Poet Biorefinning-Arthur LLC	Arthur	1.000	manual_pdf_epm_override
13-TV-004R2.pdf	3620_Green_Plains_Shenandoah_LLC.txt	3620	Green Plains Shenandoah LLC	Shenandoah	1.000	manual_pdf_epm_override
13-TV-005R2.pdf	3621_Green_Plains_Superior.txt	3621	Green Plains Superior	Superior	1.000	manual_pdf_epm_override
13-TV-007R2.pdf	3546_Absolute_Energy.txt	3546	Absolute Energy	St. Ansgar	1.000	manual_pdf_epm_override
14-TV-001R2.pdf	3632_Homeland_Energy_Solutions_LLC.txt	3632	Homeland Energy Solutions LLC	Lawler	1.000	manual_pdf_epm_override
14-TV-002R2.pdf	3641_Lincolnway_Energy_LLC.txt	3641	Lincolnway Energy LLC	Nevada	1.000	manual_pdf_epm_override
14-TV-003R1-M001.pdf	3754_Poet_Biorefinning_Emmetsburg_LLC.txt	3754	Poet Biorefinning-Emmetsburg LLC	Emmetsburg	1.000	manual_pdf_epm_override
14-TV-006.pdf	3663_Poet_Biorefinning_Ashton_LLC.txt	3663	Poet Biorefinning-Ashton LLC	Ashton	1.000	manual_pdf_epm_override
14-TV-010R2.pdf	3571_Big_River_United_Energy_LLC.txt	3571	Big River United Energy LLC	Dyersville	1.000	manual_pdf_epm_override
14-TV-011R2.pdf	3714_The_Andersons_Marathon_Holdings_LLC.txt	3714	The Andersons Marathon Holdings LLC	Denison	1.000	manual_pdf_epm_override
15-TV-003R1.pdf	3692_Poet_Biorefinning_Shell_Rock_LLC.txt	3692	Poet Biorefinning-Shell Rock LLC	Shell Rock	1.000	manual_pdf_epm_override
15-TV-006R1.pdf	3686_Poet_Biorefinning_Menlo.txt	3686	Poet Biorefinning-Menlo	Menlo	1.000	manual_pdf_epm_override
15-TV-009R2.pdf	3726_Valero_Renewable_Fuels_LLC.txt	3726	Valero Renewable Fuels LLC	Charles City	1.000	manual_pdf_epm_override
15-TV-010R2.pdf	3671_Poet_Biorefinning_Fairbank.txt	3671	Poet Biorefinning-Fairbank	Fairbank	1.000	manual_pdf_epm_override
16-TV-004R1.pdf	3728_Valero_Renewable_Fuels_LLC.txt	3728	Valero Renewable Fuels LLC	Hartley	1.000	manual_pdf_epm_override
16-TV-005R1.pdf	3727_Valero_Renewable_Fuels_LLC.txt	3727	Valero Renewable Fuels LLC	Ft. Dodge	1.000	manual_pdf_epm_override
16-TV-006R1.pdf	3721_Valero_Renewable_Fuels_LLC.txt	3721	Valero Renewable Fuels LLC	Albert City	1.000	manual_pdf_epm_override
17-TV-002R1.pdf	3559_ADM_Clinton_IA.txt	3559	ADM Clinton IA	Clinton	1.000	manual_pdf_epm_override
17-TV-003R1.pdf	3582_Cargill_Inc.txt	3582	Cargill Inc	Fort Dodge	1.000	manual_pdf_epm_override
18-TV-004-M001.pdf	3680_Poet_Biorefinning_Jewell_LLC.txt	3680	Poet Biorefinning-Jewell LLC	Jewell	1.000	manual_pdf_epm_override
18-TV-008R1.pdf	3675_Poet_Biorefinning_Gowrie_LLC.txt	3675	Poet Biorefinning-Gowrie LLC	Gowrie	1.060	name=1.00; city=1.00; bonus=0.11
19-TV-001R1.pdf	3659_Pine_Lake_Corn_Processors.txt	3659	Pine Lake Corn Processors	Steamboat Rock	1.000	manual_pdf_epm_override
19-TV-005R1.pdf	3679_Poet_Biorefinning_Iowa_Falls_LLC.txt	3679	Poet Biorefinning-Iowa Falls LLC	Iowa Falls	1.000	manual_pdf_epm_override
20-TV-004.pdf	3600_Elite_Octane_LLC.txt	3600	Elite Octane LLC	Atlantic	1.000	manual_pdf_epm_override
21-TV-001R1.pdf	3677_Poet_Biorefinning_Hanlontown_LLC.txt	3677	Poet Biorefinning-Hanlontown LLC	Hanlontown	1.000	manual_pdf_epm_override
25-TV-001.pdf	UNMATCHED_Gevo_NW_Iowa_RNG_LLC.txt		Gevo NW Iowa RNG, LLC		1.000	manual_non_ethanol_unmatched
9080_08-TV-007R2.pdf	3557_VCP_Corn_Processing.txt	3557	VCP Corn Processing	Cedar Rapids	1.000	manual_pdf_epm_override
goldentriangle-craig2020opf.pdf	3283_Golden_Triangle_Energy_LLC.txt	3283	Golden Triangle Energy LLC	Craig	1.000	manual_pdf_epm_override
midmoenergy-maltabend2016opb.pdf	3649_Mid_Missouri_Energy_LLC.txt	3649	Mid-Missouri Energy LLC	Malta Bend	1.000	manual_pdf_epm_override
Permit Template 12-5-17 (1).pdf	UNMATCHED_Permit_Template_12_5_17_1_pdf.txt				0.110	name=0.00; city=0.00; bonus=0.11
Permit Template 12-5-17.pdf	UNMATCHED_Permit_Template_12_5_17_pdf.txt				0.110	name=0.00; city=0.00; bonus=0.11
poet-biorefining-laddonia-op-application-complete-01-30-2026.pdf	3681_Poet_Biorefining_Laddonia_LLC.txt	3681	Poet Biorefining-Laddonia LLC	Laddonia	1.000	manual_pdf_epm_override
poet-macon-application-posted-online-may-2025.pdf	3684_Poet_Biorefining_Macon_LLC.txt	3684	Poet Biorefining-Macon LLC	Macon	1.000	manual_pdf_epm_override
show-me-ethanol-carrollton-op2022-019.pdf	3704_Show_Me_Ethanol.txt	3704	Show Me Ethanol	Carrollton	1.000	manual_pdf_epm_override
