file_name,permit_number,facility_name,company_name,city,state,plant_number,matched_epm,matched_dropdown_name,match_score,match_reason
03-TV-029R2.pdf,03-TV-029R2,Grain Processing Corporation,Grain Processing Corporation,Muscatine,IA,70-01-004,3609,Grain Processing Corp,1.000,manual_filename_epm_override
06-TV-006R1.pdf,06-TV-006R1,"Cargill, Inc. - Eddyville","Cargill, Inc. - Eddyville",Eddyville,IA,68-09-001,3581,Cargill Inc,1.000,manual_filename_epm_override
07-TV-001R3.pdf,07-TV-001R3,POET Biorefining - Coon Rapids,POET Biorefining - Coon Rapids,Coon Rapids,IA,39-11-001,3669,Poet Biorefinning-Coon Rapids,1.000,manual_filename_epm_override
08-TV-004R2.pdf,08-TV-004R2,ADM Corn Processing,ADM Corn Processing,Cedar Rapids,IA,57-01-080,3558,ADM Cedar Rapids IA Wet Mill,1.000,manual_filename_epm_override
09-TV-002R2.pdf,09-TV-002R2,"Golden Grain Energy, LLC","Golden Grain Energy, LLC",Mason City,IA,17-01-100,3608,Golden Grain Energy LLC,1.000,manual_filename_epm_override
09-TV-005R2-M001.pdf,09-TV-005R2-M001,Big River Resources West Burlington LLC,Big River Resources West Burlington LLC,West Burlington,IA,29-02-012,3570,Big River Resources West Burlington LLC,1.000,manual_filename_epm_override
10-TV-001R2.pdf,10-TV-001R2,"Valero Renewable Fuels Company, LLC d/b/a Valero Lakota Plant","Valero Renewable Fuels Company, LLC d/b/a Valero Lakota Plant",Lakota,IA,55-09-003,3729,Valero Renewable Fuels LLC,1.000,manual_filename_epm_override
10-TV-005R2.pdf,10-TV-005R2,"Little Sioux Corn Processors, LLC","Little Sioux Corn Processors, LLC",Marcus,IA,18-02-006,3642,Little Sioux Corn Processors LLLP,1.000,manual_filename_epm_override
10-TV-008R2.pdf,10-TV-008R2,"POET Biorefining - Arthur, LLC","POET Biorefining - Arthur, LLC",Arthur,IA,47-04-001,3662,Poet Biorefinning-Arthur LLC,1.000,manual_filename_epm_override
13-TV-004R2.pdf,13-TV-004R2,"Green Plains Ethanol Storage, LLC","Green Plains Ethanol Storage, LLC",Shenandoah,IA,36-10-001,3620,Green Plains Shenandoah LLC,1.000,manual_filename_epm_override
13-TV-005R2.pdf,13-TV-005R2,"Green Plains Superior, LLC","Green Plains Superior, LLC",Superior,IA,30-08-002,3621,Green Plains Superior,1.000,manual_filename_epm_override
13-TV-007R2.pdf,13-TV-007R2,Absolute Energy LLC,Absolute Energy LLC,St. Ansgar,IA,66-10-001,3546,Absolute Energy,1.000,manual_filename_epm_override
14-TV-001R2.pdf,14-TV-001R2,"Homeland Energy Solutions, LLC","Homeland Energy Solutions, LLC",Lawler,IA,19-04-002,3632,Homeland Energy Solutions LLC,1.000,manual_filename_epm_override
14-TV-002R2.pdf,14-TV-002R2,"Lincolnway Energy, LLC","Lincolnway Energy, LLC",Nevada,IA,85-02-017,3641,Lincolnway Energy LLC,1.000,manual_filename_epm_override
14-TV-003R1-M001.pdf,14-TV-003R1-M001,"POET Biorefining – Emmetsburg, LLC","POET Biorefining – Emmetsburg, LLC",Emmetsburg,IA,74-01-022,3754,Poet Biorefinning-Emmetsburg LLC,1.000,manual_filename_epm_override
14-TV-006.pdf,14-TV-006,POET Biorefining - Ashton,POET Biorefining - Ashton,Ashton,IA,72-03-002,3663,Poet Biorefinning-Ashton LLC,1.000,manual_filename_epm_override
