EPM,Plant,City,State,DCO enhancement / tech flag,Corn oil detail class,Corn oil source evidence,Tank count from evidence,Largest tank gal,Total named tank gal,Corn oil yield available,Source file
3620,Green Plains Shenandoah LLC,Shenandoah,IA,FQPT HI PRO,Enhanced/high-protein linked DCO,"- TS-8901 Corn Oil Storage Tank (6,200 gallon); - TS-8902 Corn Oil Storage Tank (6,200 gallon); DDGS / Corn Oil Systems:; - Corn oil source line: TS-8902 Corn Oil Storage Tank (6,200 gallon); - TS-6851 Corn Oil Syrup Feed Tank (1,690 gallon); - TS-6852 Corn Oil Syrup Receiver Tank (336 gallon); - TS-6853 Corn Oil Receiver Tank (200 gallon); - TS-6854 Corn Oil Receiver Tank (300 gallon)",7,6200.0,21126.0,No,13-TV-004R2.pdf
3642,Little Sioux Corn Processors LLLP,Marcus,IA,FQPT HI PRO,Enhanced/high-protein linked DCO,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - F110 GS Clean Tech and Tricanter Corn Oil Recovery System; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,10-TV-005R2.pdf
3692,Poet Biorefinning-Shell Rock LLC,Shell Rock,IA,FQPT HI PRO,Enhanced/high-protein linked DCO,"- TK-13800 Corn Oil Tank (20,000 gal); - TK-13801 Corn Oil Tank (20,000 gal); - TK-13802 Corn Oil Tank (20,000 gal); - TK-13803 Corn Oil Tank (20,000 gal); DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - S201 Corn Oil Loadout (0.16 psi); - S202 Corn Oil Vent (0.16 psi)",4,20000.0,80000.0,No,15-TV-003R1.pdf
3600,Elite Octane LLC,Atlantic,IA,ICM,Technology flag only,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - E110 Corn Oil Loadout; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,20-TV-004.pdf
3659,Pine Lake Corn Processors,Steamboat Rock,IA,ICM FOT,Technology flag only,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,19-TV-001R1.pdf
3558,ADM Cedar Rapids IA Wet Mill,Cedar Rapids,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,08-TV-004R2.pdf
3559,ADM Clinton IA,Clinton,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,17-TV-002R1.pdf
3546,Absolute Energy,St. Ansgar,IA,,Storage tanks identified,"- T4 Corn Oil Tank; - T5 Corn Oil Tank; DDGS / Corn Oil Systems:; - Corn oil source line: Corn Oil Tank #2 Corn Oil 20,000 gallons; - NA Corn Oil Loading; - S10-COS1 Corn Oil Skid #1 Corn Oil 12 gal/min; - S10-COS2 Corn Oil Skid #2 Corn Oil 12 gal/min; - S10-COS3 Corn Oil Skid #3 Corn Oil 12 gal/min",3,12.0,36.0,No,13-TV-007R2.pdf
3570,Big River Resources West Burlington LLC,West Burlington,IA,,Separation / centrifuge system,"- T69 Corn Oil Tank (3,000 gal); DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - S51 Truck Loadout Rack - Corn Oil; - T67B Corn Oil #1 Tank (23,000 gal); - T68B Corn Oil #2 Tank (23,000 gal); - TS2 Corn Oil Extraction System 2; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.",3,23000.0,49000.0,No,09-TV-005R2-M001.pdf
3571,Big River United Energy LLC,Dyersville,IA,,Storage + loadout identified,"- EU-TS-8901 9,000 Gallon Corn Oil Storage Tank; - EU-TS-8902 9,000 Gallon Corn Oil Storage Tank; - EU-TS-8903 9,000 Gallon Corn Oil Storage Tank; - EU-TS-8904 9,000 Gallon Corn Oil Storage Tank; DDGS / Corn Oil Systems:; - Corn oil source line: EU-TS-8904 9,000 Gallon Corn Oil Storage Tank; - EU-S51 Truck Loadout Rack-Corn Oil; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.",5,9000.0,45000.0,No,14-TV-010R2.pdf
