EPM,Plant,City,State,Operating permit dryer type,Tech flag dryer type,Dryer type from tech flags,Dryer count from permit,Dryer confidence,Membrane dehydration,Membrane / White Fox detail,Dryer source evidence,Source file
3658,Pinal,Maricopa,AZ,,Ring Dryer,,,,No,,,
3549,Aemetis Advanced Fuels Keys Inc,Keyes,CA,,Ring Dryer,,,low,No,,,
3656,Innergex Renewable Energy Inc.,Stockton,CA,,Ring Dryer,,,,Yes,White Fox,,
3703,Seaboard,Madera,CA,,Ring Dryer,,,,No,,,
3602,Front Range Energy LLC,Windsor,CO,,Rotary Dryer,,,,Yes,White Fox,,
3709,Sterling Ethanol LLC,Sterling,CO,,Rotary Dryer,,,low,No,,,
3739,Yuma Ethanol LLC,Yuma,CO,,Rotary Dryer,,,low,No,,,
3558,ADM Cedar Rapids IA Wet Mill,Cedar Rapids,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,10.0,,No,,Dryer mentions parsed: 10; 011 011 Gluten Meal Dryer #1 (Bypass Stack) -- 5346 / 5220R1; 018 018 #2 Gluten Dryer (Bypass Stack) -- 5347 / 5221; 005C Fiber Feed Dryer #4; 005D Fiber Feed Dryer #5; 011 Gluten Meal Dryer #1; 018 Gluten Meal Dryer #2; 019 Fiber Feed Dryer #1,08-TV-004R2.pdf
3559,ADM Clinton IA,Clinton,IA,Rotary Dryer,Rotary Dryer,Rotary Dryer,3.0,,No,,Dryer mentions parsed: 3; 272-3100 272-2100 3 Dryers System 13-A-203-S5; 235-2300 235-2300 10 Dryer System Feed Tank 15-A-445; EU265-2000 Dryer Feed Tank,17-TV-002R1.pdf
3546,Absolute Energy,St. Ansgar,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; EU-P10A Dryer A; EU-P10B Dryer B; EP-S10 EU-P10C Dryer C 06-A-594-S10; EU-P10D Dryer D; EP-S70 EU-P70 DDGS Cooling 06-A-598-S7; EP-S90 EU-P90 DDGS Loadout 06-A-599-S5,13-TV-007R2.pdf
3570,Big River Resources West Burlington LLC,West Burlington,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,6.0,,No,,Dryer mentions parsed: 6; DR-7103 Natural Gas Dryer A; DR-7203 Natural Gas Dryer B; DR-7103B Natural Gas Dryer C; DR-7203B Natural Gas Dryer D; CD-15201 Dryer reclaim conveyor; S70 P70 DDGS Cooler Cyclone 03-A-052-S5; S70B S70B DDGS Cooler Cyclone 06-A-625-S2,09-TV-005R2-M001.pdf
3571,Big River United Energy LLC,Dyersville,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,5.0,,No,,Dryer mentions parsed: 5; EU 01 DDGS Dryer A; EU 02 DDGS Dryer B; EU 03 DDGS Dryer C; EU 04 DDGS Dryer D; EU 74 DDGS Storage Silo #1; EU 75 DDGS Storage Silo #2; EU 76 DDGS Dump Pit Auger,14-TV-010R2.pdf
3581,Cargill Inc,Eddyville,IA,DDGS Dryer,,,9.0,,No,,Dryer mentions parsed: 9; 104.000 Fiber Flash Dryer 3; 104.000 104.201 Germ Dryer 1 00-A-467-S4; 104.202 Germ Dryer 2; 105.103 105.103 Gluten Flash Dryer Conveying I 95-A-406-P5; 105.109 105.109 Gluten Flash Dryer Conveying II 95-A-407-P4; 106.062 Gluten Flash Dryer I; 106.901 Gluten Flash Dryer II,06-TV-006R1.pdf
3591,Corn LP,Goldfield,IA,,Rotary Dryer,,,,No,,,
3600,Elite Octane LLC,Atlantic,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,1.0,low,No,,Dryer mentions parsed: 1; E83-E86 DDGS Dryer A-D; E87 DDGS Cooling Drum; E88 DDGS Conveyor; E89 DDGS Elevator; S90 E92 DDGS Loadout Conveyor 15-A-095-S1; E93 DDGS Loadout #1; E94 DDGS Loadout #2,20-TV-004.pdf
3608,Golden Grain Energy LLC,Mason City,IA,Rotary Dryer,Rotary Dryer,Rotary Dryer,1.0,,Yes,White Fox ICE,"Dryer mentions parsed: 1; EP S10a EU 1, EU 2, DDGS Dryers 1 and 2, Distillation 03-A-600-P7; EP S10b EU3, EU 4, EU P, DDGS Dryers 3 and 4, Distillation 05-A-780-P6; EP S70a EU P70a DDGS Cooler 03-A-604-P6; EP S70b EU P70b DDGS Cooler 05-A-783-P4; EP S90 EU P90 DDGS Loading 03-A-605-P2",09-TV-002R2.pdf
3609,Grain Processing Corp,Muscatine,IA,Rotary Dryer + DDGS Dryer,,,19.0,,Yes,White Fox ICE,"Dryer mentions parsed: 19; 2874.0 #5 Wet Mill Germ Dryer; 296.0 2802.0 #1 Germ Dryer (North Top) 17-A-298; 2802.1 #2 Germ Dryer (North Bottom); 297.0 2804.0 #3 Germ Dryer (South Top) 17-A-299-S1; 2807.0 #4 Germ Dryer (South Bottom); 195.0 1262.0 Dryer House 4, Spent Germ Receiving 09-A-482-S2; 546.0 1264.0 #1 Alpha Laval Centrifuge in Dryer House 4 11-A-338-S1",03-TV-029R2.pdf
3620,Green Plains Shenandoah LLC,Shenandoah,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,,No,,Dryer mentions parsed: 4; EU-35 DDGS Dryer A; EU-36 DDGS Dryer B; EU-60 Protein Dryer; EP-SV05 EU-38 DDGS Cooling 06-A-344-S5; EU-39 DDGS Storage; EP-SV06 EU-40 DDGS Conveyor 06-A-345-S2; EU-41 DDGS Truck Loadout,13-TV-004R2.pdf
