program,pathway_class,metric,n,avg_metric,avg_ci,correlation_metric_to_ci,note
CA,fiber/cellulosic,boiler_mmbtu_hr,4,134.6904,25.8375,-0.8725234904067178,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,fiber/cellulosic,total_thermal_mmbtu_hr_per_mgy,5,1.1846256372385784,26.606,-0.8505257777677435,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,fiber/cellulosic,estimated_btu_per_gal_from_heat_input,5,10377.320582209946,26.606,-0.8505257777677434,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,fiber/cellulosic,total_thermal_mmbtu_hr,5,127.63232,26.606,-0.7628987106274239,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,corn starch,waste_heat_boiler_mmbtu_hr,4,152.45,68.615,0.6615047080979605,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CFA,corn starch,waste_heat_boiler_mmbtu_hr,3,154.13333333333333,41.0,0.6138031615836136,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,corn starch,boiler_mmbtu_hr,4,134.6904,67.4425,0.5990022654243273,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,fiber/cellulosic,waste_heat_boiler_mmbtu_hr,4,152.45,25.575,-0.399885074835403,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,corn starch,estimated_btu_per_gal_from_heat_input,5,10377.320582209946,67.88,0.36403517374517824,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,corn starch,total_thermal_mmbtu_hr_per_mgy,5,1.1846256372385784,67.88,0.36403517374517813,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
CA,corn starch,total_thermal_mmbtu_hr,5,127.63232,67.88,0.20098508340659454,positive means higher metric associated with higher CI; negative means higher metric associated with lower CI
