EPM,Plant,City,capacity_mgy,dryer_type,dryer_type_from_technology_flags,fiber_to_ethanol_technology,fiber_to_ethanol_source,operating_permit_source,dryer_mmbtu_hr,boiler_mmbtu_hr,rto_thermal_oxidizer_mmbtu_hr,waste_heat_boiler_mmbtu_hr,total_thermal_mmbtu_hr,total_thermal_mmbtu_hr_per_mgy,estimated_btu_per_gal_from_heat_input,white_fox_membrane,molecular_sieve_only,chp,waste_heat_recovery,fiber_to_ethanol,d3_capable,generic_fiber_separation,high_protein,corn_oil_extraction,edeniq,fluid_quip,icm_selective_milling,icm_fst,co2_capture,rng_biogas,program,pathway_class,ci,feedstock,coproduct_type,source_date,source_detail
3546,Absolute Energy,St. Ansgar,130.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,13-TV-007R2.pdf,,,45.0,,45.0,0.34615384615384615,3032.3076923076924,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,CA,fiber/cellulosic,29.68,Corn Fiber (012),,2026-05-19,
3546,Absolute Energy,St. Ansgar,130.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,13-TV-007R2.pdf,,,45.0,,45.0,0.34615384615384615,3032.3076923076924,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,CA,corn starch,69.63,Corn (009),DDGS + MDGS,2026-05-19,
3571,Big River United Energy LLC,Dyersville,140.0,DDGS Dryer,Rotary Dryer,,,14-TV-010R2.pdf,,,,,,,,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,CFA,corn starch,37.0,Corn,,24-11-2023,FINAL
3600,Elite Octane LLC,Atlantic,175.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,20-TV-004.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,CA,fiber/cellulosic,28.35,Corn Fiber (012),,2026-05-19,
3600,Elite Octane LLC,Atlantic,175.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,20-TV-004.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,CA,corn starch,70.15,Corn (009),DDGS + MDGS,2026-05-19,
3620,Green Plains Shenandoah LLC,Shenandoah,100.0,DDGS Dryer,Rotary Dryer,,,13-TV-004R2.pdf,,,,,,,,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,BC,unknown,44.54,,,2024-01-01T00:00:00,BCLCF182.4
3620,Green Plains Shenandoah LLC,Shenandoah,100.0,DDGS Dryer,Rotary Dryer,,,13-TV-004R2.pdf,,,,,,,,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,CFA,corn starch,44.0,Corn,,19-06-2024,FINAL
3621,Green Plains Superior,Superior,68.5,DDGS Dryer,Ring Dryer,,,13-TV-005R2.pdf,,,,,,,,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,CA,corn starch,71.0,Corn (009),DDGS + WDGS,2026-05-19,
3632,Homeland Energy Solutions LLC,Lawler,207.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,14-TV-001R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,True,False,False,False,False,True,CA,fiber/cellulosic,24.68,Corn Fiber (012),,2026-05-19,
3632,Homeland Energy Solutions LLC,Lawler,207.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,14-TV-001R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,True,False,False,False,False,True,CA,corn starch,71.57,Corn (009),DDGS,2026-05-19,
