program,EPM,plant,ci_score,pathway_code,pathway_base,pathway_version,start,end
BC,3573,Blue Flint Ethanol LLC,24.8,BCLCF474.0,474,0,,
BC,3573,Blue Flint Ethanol LLC,28.38,BCLCF121.4,121,4,2024-08-09,2027-08-08
BC,3578,Bonanza Bioenergy,35.17,BCLCF286.2,286,2,2023-08-01,
BC,3578,Bonanza Bioenergy,36.72,BCLCF537.0,537,0,2023-08-01,
BC,3699,Red Trail Energy LLC,18.86,BCLCF376.1,376,1,2023-08-07,2026-08-06
BC,3699,Red Trail Energy LLC,44.32,BCLCF375.1,375,1,2023-08-07,2026-08-06
WA,3564,Arkalon Ethanol LLC,24.51,ETHWA012A01530500,,,2025-01-01,2026-12-31
WA,3564,Arkalon Ethanol LLC,64.83,ETHWA009A01530100,,,2025-01-01,2026-12-31
WA,3564,Arkalon Ethanol LLC,67.3,ETHWA010A01530300,,,2025-01-01,2026-12-31
WA,3564,Arkalon Ethanol LLC,73.79,ETHWA009A01530200,,,2025-01-01,2026-12-31
WA,3564,Arkalon Ethanol LLC,76.26,ETHWA010A01530400,,,2025-01-01,2026-12-31
WA,3574,Bonanza Bioenergy LLC,24.95,ETHWA012A01520300,,,2025-01-01,2026-12-31
WA,3574,Bonanza Bioenergy LLC,63.83,ETHWA009A01520200,,,2025-01-01,2026-12-31
WA,3574,Bonanza Bioenergy LLC,67.14,ETHWA010A01520100,,,2025-01-01,2026-12-31
WA,3587,Chippewa Valley Ethanol Co LLLP,28.59,ETHWA012B00360300,,,2025-04-01,2026-12-31
WA,3587,Chippewa Valley Ethanol Co LLLP,68.53,ETHWA009B00360200,,,2025-04-01,2030-12-31
WA,3587,Chippewa Valley Ethanol Co LLLP,76.43,ETHWA009B00360100,,,2025-04-01,2026-12-31
WA,3592,Dakota Ethanol LLC,25.08,ETHWA012A00260401,,,2025-01-01,2026-12-31
WA,3592,Dakota Ethanol LLC,65.09,ETHWA009A00260301,,,2025-01-01,2026-12-31
WA,3592,Dakota Ethanol LLC,68.72,ETHWA009A00260201,,,2025-01-01,2026-12-31
WA,3592,Dakota Ethanol LLC,72.69,ETHWA009A00260101,,,2025-01-01,2026-12-31
WA,3604,Hub City Energy LLC,32.36,ETHWA012A01560100,,,2025-04-01,2027-12-31
WA,3604,Hub City Energy LLC,72.0,ETHWA009A01560200,,,2025-04-01,2027-12-31
WA,3607,Glacial Lakes Energy,33.18,ETHWA012A01550100,,,2025-07-01,2027-12-31
WA,3607,Glacial Lakes Energy,73.24,ETHWA009A01550200,,,2025-07-01,2027-12-31
WA,3664,Poet Biorefining- Big Stone LLC,27.61,ETHWA012B00420301,,,2025-04-01,2027-12-31
WA,3664,Poet Biorefining- Big Stone LLC,67.52,ETHWA009B00420201,,,2025-04-01,2027-12-31
WA,3664,Poet Biorefining- Big Stone LLC,74.6,ETHWA009B00420101,,,2025-04-01,2027-12-31
