epm,facility_id,plant_name,state,dryer_types,technology,icm_p10,gas_supply_effective,thermal_btu_per_gal_est
3660,70183,Plymouth Energy LLC,IA,Ring Dryer,Delta-T,FQPT P10,Natural Gas,13997.901028485272
3681,70023,Poet Biorefining-Laddonia LLC,MO,Ring Dryer,Poet,,Natural Gas,15895.259140595554
3684,70017,Poet Biorefining-Macon LLC,MO,Ring Dryer,Poet,,Natural Gas,16057.199054243909
3685,70327,Poet Biorefining-Marion,OH,Ring Dryer,Poet,,Natural Gas,16168.8463560935
3664,70025,Poet Biorefining- Big Stone LLC,SD,Ring Dryer,Poet,,Natural Gas,17331.239746558254
3638,72943,Kappa Partners Aurora LLC,NE,Ring Dryer,Delta-T,ICM P10,Natural Gas,17734.848633493228
3622,70249,Green Plains Wood River LLC,NE,Ring Dryer,Delta-T,ICM P10,Natural Gas,17775.627938219695
3651,70230,Nebraska Corn Processing LLC,NE,Ring Dryer,Delta-T,,Natural Gas,18137.749019279363
3648,70153,Mid America Agri Products LLC,NE,Ring Dryer,Delta-T,,Natural Gas,18234.816434225406
3621,70304,Green Plains Superior,IA,Ring Dryer,Delta-T,ICM P10,Natural Gas,20870.262283986453
3675,70033,Poet Biorefinning-Gowrie LLC,IA,Ring Dryer,Poet,,Natural Gas,22584.60945679943
3682,70072,Poet Biorefining--Lake Crystal LLC,MN,Ring Dryer,Poet,,Natural Gas,22644.561650517724
3670,70143,Poet Biorefinning-Corning LLC,IA,Ring Dryer,Poet,,Natural Gas,23041.574737194787
3669,70031,Poet Biorefinning-Coon Rapids,IA,Ring Dryer,Poet,,Natural Gas,23063.237554002728
3680,70014,Poet Biorefinning-Jewell LLC,IA,Ring Dryer,Poet,,Natural Gas,23426.31570130251
3678,70022,Poet Biorefining- Hudson,SD,Ring Dryer,Poet,,Natural Gas,23497.178665661515
3687,70016,Poet Biorefining- Mitchell LLC,SD,Ring Dryer,Poet,,Natural Gas,23612.571989586162
3754,70021,Poet Biorefinning-Emmetsburg LLC,IA,Ring Dryer,Poet,,Natural Gas,23786.01305957739
