fiber_technology,facility_id,plant_name,ownership,state,city,rows,min_ci,max_ci,avg_ci
BPX,20621,Poet Biorefining-Portland LLC,POET Biorefining,IN,Shelbyville,1,24.91,24.91,24.91
BPX,70010,Poet Biorefinning-Hanlontown LLC,POET Biorefining,IA,Hanlontown,1,27.88,27.88,27.88
BPX,70012,Poet Biorefining- Chancellor LLC,POET Biorefining,SD,Chancellor,1,23.48,23.48,23.48
BPX,70013,Poet Biorefining- Groton LLC,POET Biorefining,SD,Groton,1,28.95,28.95,28.95
BPX,70014,Poet Biorefinning-Jewell LLC,POET Biorefining,IA,Jewell,1,27.18,27.18,27.18
BPX,70016,Poet Biorefining- Mitchell LLC,POET Biorefining,SD,Mitchell,1,26.48,26.48,26.48
BPX,70017,Poet Biorefining-Macon LLC,POET Biorefining,MO,Macon,1,25.11,25.11,25.11
BPX,70020,Poet Biorefining--Glenville LLC,POET Biorefining,MN,Albert Lea,1,30.39,30.39,30.39
BPX,70021,Poet Biorefinning-Emmetsburg LLC,POET Biorefining,IA,Emmetsburg,1,27.51,27.51,27.51
BPX,70022,Poet Biorefining- Hudson,POET Biorefining,SD,Hudson,1,26.85,26.85,26.85
BPX,70023,Poet Biorefining-Laddonia LLC,POET Biorefining,MO,Laddonia,1,24.02,24.02,24.02
BPX,70025,Poet Biorefining- Big Stone LLC,POET Biorefining,SD,Big Stone City,1,28.31,28.31,28.31
BPX,70026,Poet Biorefining-Bingham Lake LLC,POET Biorefining,MN,Bingham Lake,1,30.0,30.0,30.0
BPX,70028,Poet Biorefinning-Caro,POET Biorefining,MI,Caro,1,28.59,28.59,28.59
BPX,70031,Poet Biorefinning-Coon Rapids,POET Biorefining,IA,Coon Rapids,1,26.63,26.63,26.63
BPX,70032,Poet Biorefinning-Ashton LLC,POET Biorefining,IA,Ashton,1,25.42,25.42,25.42
BPX,70033,Poet Biorefinning-Gowrie LLC,POET Biorefining,IA,Gowrie,1,24.96,24.96,24.96
BPX,70056,Poet Biorefining--Preston LLC,POET Biorefining,MN,Preston,1,27.92,27.92,27.92
BPX,70072,Poet Biorefining--Lake Crystal LLC,POET Biorefining,MN,Lake Crystal,1,28.01,28.01,28.01
BPX,70108,Poet Biorefining-Portland LLC,POET Biorefining,IN,Portland,1,26.78,26.78,26.78
BPX,70142,Valero Renewable Fuels LLC,Valero Renewables,IA,Albert City,1,25.01,25.01,25.01
BPX,70143,Poet Biorefinning-Corning LLC,POET Biorefining,IA,Corning,1,26.96,26.96,26.96
BPX,70265,Poet Biorefining-Leipsic LLC,POET Biorefining,OH,Leipsic,1,28.07,28.07,28.07
BPX,70298,Poet Biorefining-Alexandria LLC,POET Biorefining,IN,Alexandria,1,26.95,26.95,26.95
BPX,70322,Poet Biorefining-North Manchester,POET Biorefining,IN,North Manchester,1,25.32,25.32,25.32
BPX,70323,Poet Biorefining-Fostoria LLC,POET Biorefining,OH,Fostoria,1,26.96,26.96,26.96
BPX,70327,Poet Biorefining-Marion,POET Biorefining,OH,Marion,1,27.76,27.76,27.76
BPX,71682,Poet Biorefinning-Arthur LLC,POET Biorefining,IA,Arthur,1,26.89,26.89,26.89
EDENIQ,21601,Hereford Ethanol Partners LP,Hereford Ethanol Partners,TX,Hereford,1,27.0,27.0,27.0
EDENIQ,70015,Little Sioux Corn Processors LLLP,Little Sioux Corn Processors,IA,Marcus,1,26.0,26.0,26.0
EDENIQ,70030,Western Plains Energy LLC,Western Plains Energy,KS,Oakley,1,24.36,24.36,24.36
EDENIQ,70039,Plainview Bioenergy LLC,White Energy,TX,Plainview,1,24.89,24.89,24.89
EDENIQ,70053,Trenton Agri Products LLC,Trenton Agri Products,NE,Trenton,1,26.52,26.52,26.52
