facility_id,plant_name,ownership,state,city,feedstock,pathway_type,fiber_technology_raw,fiber_technology,ci_score,coproduct_type,gas_supply,electricity_type,detail_date,program
70144,Absolute Energy,Absolute Energy,IA,St. Ansgar,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,29.68,,Natural Gas,Grid Electricity,2026-02-11,CA
70087,Al-Corn Clean Fuel,Al–Corn Clean Fuel,MN,Claremont,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,26.86,,Natural Gas,Grid Electricity,2026-02-11,CA
70247,Arkalon Ethanol LLC,Conestoga Energy,KS,Liberal,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.39,,Natural Gas,Grid Electricity,2026-02-11,CA
70130,Badger State Ethanol LLC,Badger State Ethanol,WI,Monroe,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,27.22,,Natural Gas,Grid Electricity,2026-02-11,CA
70117,Bonanza Bioenergy LLC,Conestoga Energy,KS,Garden City,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.44,,Natural Gas,Grid Electricity,2026-02-11,CA
70150,Chief Ethanol Fuels Inc,Chief Industries,NE,Hastings,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,40.14,,Natural Gas,Grid Electricity,2026-02-11,CA
70241,Chief Ethanol Fuels Inc,Chief Industries,NE,Lexington,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,36.17,,Natural Gas,Grid Electricity,2026-02-11,CA
70078,Chippewa Valley Ethanol Co LLLP,Chippewa Valley Ethanol Co.,MN,Benson,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,29.0,,Natural Gas,Grid Electricity,2026-02-11,CA
70082,Denco II LLC,DENCO II,MN,Morris,Corn Fiber (012),Fiber,SOLITON,SOLITON,30.3,,Natural Gas,Grid Electricity,2026-02-11,CA
70093,E Energy Adams LLC,"E Energy Adams, LLC",NE,Adams,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,30.47,,Natural Gas,Grid Electricity,2026-02-11,CA
71287,Elite Octane LLC,Elite Octane,IA,Atlantic,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,28.35,,Natural Gas,Grid Electricity,2026-02-11,CA
70722,Huron Energy LLC,Glacial Lakes Cooperative,SD,Huron,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,29.31,,Natural Gas,Grid Electricity,2026-02-11,CA
70064,Glacial Lakes Energy,Glacial Lakes Cooperative,SD,Watertown,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,34.31,,Natural Gas,Grid Electricity,2026-02-11,CA
70071,Granite Falls Energy LLC,Granite Falls Energy,MN,Granite Falls,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,23.22,,Natural Gas,Grid Electricity,2026-02-11,CA
73561,Sandhills Renewable Energy LLC,Husker Ag,NE,Atkinson,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,26.66,,Natural Gas,Grid Electricity,2026-02-11,CA
70141,Green Plains Central City LLC,Green Plains,NE,Central City,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,29.5,,Natural Gas,Grid Electricity,2026-02-11,CA
70249,Green Plains Wood River LLC,Green Plains,NE,Wood River,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,35.0,,Natural Gas,Grid Electricity,2026-02-11,CA
70289,Guardian Energy LLC,"Guardian Energy, LLC",MN,Janesville,Corn Fiber (012),Fiber,SOLITON,SOLITON,24.5,,Natural Gas,Grid Electricity,2026-02-11,CA
70288,Hankinson Renewable Energy LLC,"Guardian Energy, LLC",ND,Hankinson,Corn Fiber (012),Fiber,SOLITON,SOLITON,26.0,,Natural Gas,Grid Electricity,2026-02-11,CA
70089,Heartland Corn Products,Heartland Corn Products,MN,Winthrop,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.0,,Natural Gas,Grid Electricity,2026-02-11,CA
21601,Hereford Ethanol Partners LP,Hereford Ethanol Partners,TX,Hereford,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,27.0,WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70097,Heron Lake Bioenergy LLC,Granite Falls Energy,MN,Heron Lake,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.83,,Natural Gas,Grid Electricity,2026-02-11,CA
70235,Highwater Ethanol LLC,High Water Ethanol,MN,Lamberton,Corn Fiber (012),Fiber,SOLITON,SOLITON,25.13,,Natural Gas,Grid Electricity,2026-02-11,CA
70188,Homeland Energy Solutions LLC,Homeland Energy Solutions,IA,Lawler,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.68,,Natural Gas,Grid Electricity,2026-02-11,CA
70151,Husker Ag LLC,Husker Ag,NE,Plainview,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,25.83,,Natural Gas,Grid Electricity,2026-02-11,CA
70079,Kappa Ethanol LLC,"KAAPA Ethanol & Grain, LLC.",NE,Minden,Corn Fiber (012),Fiber,SOLITON,SOLITON,23.0,,Natural Gas,Grid Electricity,2026-02-11,CA
70098,Kappa Ethanol Ravenna LLC,"KAAPA Ethanol & Grain, LLC.",NE,Ravenna,Corn Fiber (012),Fiber,SOLITON,SOLITON,25.15,,Natural Gas,Grid Electricity,2026-02-11,CA
72943,Kappa Partners Aurora LLC,"KAAPA Ethanol & Grain, LLC.",NE,Aurora,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,27.39,,Natural Gas,Grid Electricity,2026-02-11,CA
70279,Kansas Ethanol LLC,Kansas Ethanol,KS,Lyons,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,21.93,,Natural Gas,Grid Electricity,2026-02-11,CA
70092,Lincolnway Energy LLC,Lincolnway Energy LLC,IA,Nevada,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,23.7,,Natural Gas,Grid Electricity,2026-02-11,CA
70015,Little Sioux Corn Processors LLLP,Little Sioux Corn Processors,IA,Marcus,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,26.0,,Natural Gas,Grid Electricity,2026-02-11,CA
70139,Louis Dreyfus Co,Louis Dreyfus,IA,Grand Junction,Corn Fiber (012),Fiber,EDENIQ,EDENIQ,24.19,,Natural Gas,Grid Electricity,2026-02-11,CA
70153,Mid America Agri Products LLC,Standard Ethanol,NE,Madrid,Corn Fiber (012),Fiber,SOLITON,SOLITON,27.99,,Natural Gas,Grid Electricity,2026-02-11,CA
70298,Poet Biorefining-Alexandria LLC,POET Biorefining,IN,Alexandria,Corn Fiber (012),Fiber,BPX,BPX,26.95,,Biogas,Grid Electricity,2026-02-11,CA
71682,Poet Biorefinning-Arthur LLC,POET Biorefining,IA,Arthur,Corn Fiber (012),Fiber,BPX,BPX,26.89,,Natural Gas,Grid Electricity,2026-02-11,CA
70032,Poet Biorefinning-Ashton LLC,POET Biorefining,IA,Ashton,Corn Fiber (012),Fiber,BPX,BPX,25.42,,Natural Gas,Grid Electricity,2026-02-11,CA
70025,Poet Biorefining- Big Stone LLC,POET Biorefining,SD,Big Stone City,Corn Fiber (012),Fiber,BPX,BPX,28.31,,Natural Gas,Grid Electricity,2026-02-11,CA
70026,Poet Biorefining-Bingham Lake LLC,POET Biorefining,MN,Bingham Lake,Corn Fiber (012),Fiber,BPX,BPX,30.0,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70028,Poet Biorefinning-Caro,POET Biorefining,MI,Caro,Corn Fiber (012),Fiber,BPX,BPX,28.59,,Natural Gas,Grid Electricity,2026-02-11,CA
70012,Poet Biorefining- Chancellor LLC,POET Biorefining,SD,Chancellor,Corn Fiber (012),Fiber,BPX,BPX,23.48,,Biogas,Grid Electricity,2026-02-11,CA
70485,Poet Biorefining-Cloverdale,POET Biorefining,IN,Cloverdale,Corn Fiber (012),Fiber,Proprietary Process,Proprietary Process,31.05,,Natural Gas,Grid Electricity,2026-02-11,CA
70031,Poet Biorefinning-Coon Rapids,POET Biorefining,IA,Coon Rapids,Corn Fiber (012),Fiber,BPX,BPX,26.63,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
70143,Poet Biorefinning-Corning LLC,POET Biorefining,IA,Corning,Corn Fiber (012),Fiber,BPX,BPX,26.96,DDGS + WDGS,Natural Gas,Grid Electricity,2026-02-11,CA
71683,Poet Biorefinning-Fairbank,POET Biorefining,IA,Fairbank,Corn Fiber (012),Fiber,Proprietary Process,Proprietary Process,25.94,,Natural Gas,Grid Electricity,2026-02-11,CA
71681,Poet Biorefining-Fairmont,POET Biorefining,NE,Fairmont,Corn Fiber (012),Fiber,POET,POET,30.1,,Natural Gas,Grid Electricity,2026-02-11,CA
70323,Poet Biorefining-Fostoria LLC,POET Biorefining,OH,Fostoria,Corn Fiber (012),Fiber,BPX,BPX,26.96,,Natural Gas,Grid Electricity,2026-02-11,CA
