epm,status,ca_facility_id,frs_id,ownership,plant_name,state,city,latitude,longitude,rail_lines,ethanol_capacity_mgy,dryer_types,technology,special_tech,wind_turbine,waste_heat,high_pro,chp,white_fox,icm_p10,reg_pathway,year_build,co2_pipeline_direct,co2_pipeline_3rd_party,co2_sponsor,d6_non_cellulosic,d3_cellulosic,facility_id_key,frs_id_key,epa_facility_name,epa_subparts,epa_sectors,epa_total_direct_emissions_mtco2e,epa_co2_non_biogenic_mt,epa_ch4_mtco2e,epa_n2o_mtco2e,epa_biogenic_co2_mt,epa_stationary_combustion_mtco2e,epa_electricity_generation_mtco2e,epa_co2_collected_onsite_flag,epa_co2_transferred_offsite_flag,epa_cem_flag
3283,Active,,110010819070.0,GOLDEN TRIANGLE ENERGY LLC,Golden Triangle Energy LLC,MO ,Craig,40.18925,-95.36789,UnKnown,21.0,,Unknown,,,,,,,,,0.0,,,,,,,110010819070,GOLDEN TRIANGLE ENERGY LLC,C,Other,68591.492,68520.8,32.25,38.442,,68591.492,,N,N,N
3547,Active,,110013812918.0,ACE Ethanol,Ace Ethanol LLC,WI ,Stanley,44.9589,-90.9608,CN,52.0,Ring Dryer,Delta-T,,,,,,White Fox ICE,,,2001.0,,,,D6,D3,,110013812918,ACE ETHANOL LLC,"C,PP","Other,Suppliers of CO2",80642.396,80559.1,38.0,45.296,,80642.396,,N,N,N
3548,Active,,110008978552.0,Pearl City Elevator,Adkins Energy LLC,IL ,Lena,42.3586,-89.80342,CN,60.0,Rotary Dryer,ICM,,,,,CHP,,,EP3,2002.0,,,,D6,D3,,110008978552,ADKINS ENERGY LLC,C,Other,89423.364,89331.3,42.0,50.064,,89423.364,,N,N,N
3551,Active,,110031262112.0,Alto,Alto Columbia LLC,OR ,Boardman,45.855921,-119.656083,UP,40.0,Ring Dryer,Delta-T,,,,,,,,,2007.0,,,,D6,-,,110031262112,ALTO COLUMBIA LLC,"C,PP","Other,Suppliers of CO2",38610.604,38570.6,18.25,21.754,,38610.604,,N,N,N
3552,Active,,110035761912.0,Alto,Alto Magic Valley Ethanol,ID ,Burley,42.521324,-113.815693,UP,60.0,Ring Dryer,Delta-T,,,,Harvesting Tech HI PRO,,,,,2008.0,,,,D6,-,,110035761912,ALTO MAGIC VALLEY LLC,C,Other,44427.032,44381.0,21.0,25.032,,44427.032,,N,N,N
3553,Active,,110015379455.0,Alto,Alto ICP LLC,IL ,Pekin,40.555,-89.6698,IMRR/BNSF,82.0,,Vogelbusch,,,,,,,,,0.0,,,,,,,110015379455,,,,,,,,,,,,,
3554,Active,,110070242131.0,Alto,Alto Pekin LLC Dry Mill,IL ,Pekin,40.555063,-89.663302,IMRR/BNSF,63.0,Rotary Dryer,ICM,,,,,,,,,2007.0,Direct,,,,,,110070242131,,,,,,,,,,,,,
3555,Active,,,Alto,Alto Pekin LLC Wet Mill,IL ,Pekin,40.5534,-89.6631,UP/BNSF/CN/NS/IAIS,100.0,,Wet Mill,,,,,,,,,1981.0,Direct,,,,,,,,,,,,,,,,,,,
3556,Active,,110024930994.0,Summit Sustainable Ingredients,Amber Wave,KS ,Phillipsburg,38.363339,-97.783411,UP,50.0,,Wheat,,,,,,,,,2023.0,,,,,,,110024930994,Summit Sustainable Ingredients DBA Amber Wave,C,Other,53315.8,53261.0,25.0,29.8,,53315.8,,N,N,N
3557,Active,,,ADM,VCP Corn Processing,IA ,Cedar Rapids,41.929,-91.6885,UP,300.0,Rotary Dryer,ADM,,,,,CHP,,,,2008.0,,,,,,,,,,,,,,,,,,,,
